dept_name,Average_salary,gender,Calender_year
Development,54768.88,M,1998
Development,56026.85,M,1999
Development,61562.88,M,2000
"Customer Service",44814.29,F,1990
"Customer Service",45064.92,F,1991
"Customer Service",46912.41,F,1992
"Customer Service",48566.83,F,1993
"Customer Service",49391.65,F,1994
"Customer Service",50205.51,F,1995
"Customer Service",51306.14,F,1996
Development,47629.32,M,1992
Development,48628.51,M,1993
Development,52597.50,M,1994
Development,53570.37,M,1995
Development,54600.03,M,1996
Development,55603.54,M,1997
Development,63674.08,M,2001
Sales,76140.20,M,1998
Sales,77413.62,M,1999
Sales,83072.84,M,2000
Sales,85173.86,M,2001
Sales,87113.29,M,2002
Marketing,60879.25,F,1993
Marketing,61673.05,F,1994
Marketing,63080.14,F,1995
Marketing,63678.94,F,1996
Marketing,64402.33,F,1997
Marketing,65582.10,F,1998
Marketing,66361.30,F,1999
Marketing,68347.80,F,2000
Marketing,70363.80,F,2001
Marketing,71984.04,F,2002
Research,56363.11,M,1999
Research,61922.89,M,2000
Research,64006.22,M,2001
Research,66512.30,M,2002
Production,55491.81,M,1997
Production,54637.81,M,1998
Production,55989.69,M,1999
Production,61605.93,M,2000
Production,63642.94,M,2001
Production,53345.36,F,1998
Production,54263.07,F,1999
Production,56190.65,F,2000
Production,58403.74,F,2001
Production,60467.83,F,2002
Production,53527.26,M,1995
Production,54461.46,M,1996
Production,65608.67,M,2002
Development,46596.06,M,1991
Production,52590.55,M,1994
Production,45138.16,F,1990
Production,46309.19,F,1991
Production,47214.69,F,1992
Production,48482.06,F,1993
Production,49349.21,F,1994
Production,50276.05,F,1995
Production,51357.65,F,1996
Production,52261.68,F,1997
"Human Resources",43316.85,M,1992
"Human Resources",44419.21,M,1993
"Human Resources",48020.06,M,1994
"Human Resources",49161.39,M,1995
"Human Resources",50041.42,M,1996
"Human Resources",51046.97,M,1997
"Human Resources",50250.60,M,1998
"Human Resources",51602.10,M,1999
"Human Resources",57180.79,M,2000
"Human Resources",59150.86,M,2001
"Human Resources",61449.24,M,2002
Development,45764.32,M,1990
Development,48511.89,F,1993
Development,49572.48,F,1994
Development,50397.55,F,1995
Development,51329.42,F,1996
Development,52164.69,F,1997
Development,53232.17,F,1998
Development,54359.81,F,1999
Development,56297.66,F,2000
Development,58424.18,F,2001
Development,60260.34,F,2002
Research,48588.29,F,1993
Research,49742.10,F,1994
Research,50420.71,F,1995
Research,51633.22,F,1996
Research,52388.12,F,1997
Research,53413.43,F,1998
Research,54685.89,F,1999
Research,56551.97,F,2000
Research,58615.66,F,2001
Research,60821.50,F,2002
Finance,59552.54,F,1993
Finance,60829.02,F,1994
Finance,61103.05,F,1995
Finance,62151.46,F,1996
Finance,62924.74,F,1997
