ds,actual,forecast,yhat_lower,yhat_upper
2022-01-31,20764.0,10303.948427483812,-3879.6087344373677,23856.99028637237
2022-02-28,12628.0,2382.3693231585453,-11372.600315715303,16049.538360578215
2022-03-31,10486.0,4482.941145491808,-9480.651867331404,18383.60802497671
2022-04-30,11493.0,7178.0954865939875,-6461.77577830513,20566.607133552578
2022-05-31,8196.0,4155.497117034519,-10043.472166910387,17687.51530101839
2022-06-30,17685.0,12902.11324934282,-1065.9395208299236,26054.480159754014
2022-07-31,25414.0,22918.11829620225,9379.526601330663,36939.99105100414
2022-08-31,33771.0,21182.349792959343,7435.041831544284,36137.724305628035
2022-09-30,27722.0,22539.158442247917,8126.359088941727,37405.23127996129
2022-10-31,30159.0,19797.238140225505,5321.9740218763945,34643.81590369485
2022-11-30,14273.0,12142.880393437652,-1019.9593736114691,26641.33936513441
2022-12-31,12394.0,4675.502513933554,-9891.171746276745,18371.573193252665
2023-01-31,9521.0,13840.075821966351,-636.2919976779165,27942.314673627126
2023-02-28,2750.0,18633.558608946183,3795.572243288363,32102.52086178435
2023-03-31,6669.0,22859.05952391566,9911.320235669273,37224.31579529858
2023-04-30,6144.0,23963.288313340687,10055.603127970087,37234.83518518091
2023-05-31,2516.0,21534.58091320724,7534.709068482137,35978.20614984191
2023-06-30,7751.0,26870.48243631205,13731.93354944476,40363.03978322397
2023-07-31,30581.0,45608.418797278835,31454.63130898535,60190.59789367983
2023-08-31,22678.0,41907.523674985336,27923.511788682972,56184.45788042682
2023-09-30,27443.0,38442.8989706194,24463.561782488756,52638.39322104324
2023-10-31,31471.0,42785.35573353186,28956.51337020735,56200.85560065059
2023-11-30,29906.0,33964.643942840834,19960.77829600766,48702.46631870547
2023-12-31,29920.0,37604.91732865464,23798.702629286843,51092.75726109912
2024-01-31,24710.0,30724.511237953884,16754.106702231333,44858.06469751287
2024-02-29,34433.0,28740.10972840975,14950.329413158594,43751.53987193776
2024-03-31,49849.0,39555.71436354823,25981.175737161033,53342.321212196824
2024-04-30,59054.0,45521.00224123517,31468.94672111845,60032.649483609275
2024-05-31,56401.0,41373.48014965702,27245.18423295917,56051.57723899152
2024-06-30,71563.0,57290.63886011193,42855.37196560954,71701.3047957954
2024-07-31,62337.0,49863.28301905057,35458.66485606641,62976.61186750329
2024-08-31,58130.0,51549.593810561724,37542.47602639881,64951.12604061471
2024-09-30,68257.0,62536.636970076,48278.14106936228,76766.91458279242
2024-10-31,66814.0,65917.21226402224,51514.58073750088,80177.10664496962
2024-11-30,62899.0,60989.75247381927,47569.70216342462,75219.46285748835
2024-12-31,,30872.016882638916,16652.462518405344,46073.92024597224
2025-01-31,,72081.62787467577,57885.557494045686,85734.55327174297
2025-02-28,,51564.410111232006,37382.34674075441,65053.637071708545
2025-03-31,,58093.74862774082,43630.112771621025,72198.3499833304
2025-04-30,,62411.57923376036,47506.3723563986,76450.5110602306
2025-05-31,,58817.78928777424,43808.52583814835,72686.85942039167
2025-06-30,,71093.45325605347,57030.12170363852,83743.13396117282
2025-07-31,,72386.42749836769,57800.9154727395,85974.12955261112
2025-08-31,,72448.33498781075,58292.250311319636,86542.7295672356
2025-09-30,,78626.26360866196,64754.05918250219,91730.93501094276
2025-10-31,,82255.76276454513,68193.55583360107,95783.91723396446
2025-11-30,,75900.50705126145,61262.72043308265,89785.27755727588
